Round,Date,Home Team,Home Score,Away Team,Away Score,Venue,,,,,,,,
1,Saturday 5 April 2008,Central Pulse,33,Melbourne Vixens,50,"TSB Bank Arena, Wellington",,,,,,,,
1,Sunday 6 April 2008,Queensland Firebirds,48,West Coast Fever,46,Brisbane Convention & Exhibition Centre,,,,,,,,
1,Sunday 6 April 2008,Northern Mystics,44,Canterbury Tactix,48,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 7 April 2008,Waikato Bay of Plenty Magic,46,Adelaide Thunderbirds,42,"Energy Events Centre, Rotorua",,,,,,,,
1,Monday 7 April 2008,New South Wales Swifts,53,Southern Steel,42,"Acer Arena, Sydney",,,,,,,,
2,Saturday 12 April 2008,Canterbury Tactix,50,New South Wales Swifts,44,"Westpac Centre, Christchurch",,,,,,,,
2,Sunday 13 April 2008 ,Melbourne Vixens,62,Queensland Firebirds,52,"State Netball and Hockey Centre,Melbourne",,,,,,,,
2,Sunday 13 April 2008 ,Waikato Bay of Plenty Magic,56,Northern Mystics,52,"Energy Events Centre, Rotorua",,,,,,,,
2,Monday 14 April 2008 ,Central Pulse,50,Southern Steel,52,"TSB Bank Arena, Wellington",,,,,,,,
2,Monday 14 April 2008 ,West Coast Fever,41,Adelaide Thunderbirds,54,"Challenge Stadium, Perth",,,,,,,,
3,Saturday 19 April 2008,Northern Mystics,45,West Coast Fever,49,"Trusts Stadium, Auckland",,,,,,,,
3,Saturday 19 April 2008,New South Wales Swifts,50,Waikato Bay of Plenty Magic,47,Newcastle Entertainment Centre,,,,,,,,
3,Sunday 20 April 2008 ,Melbourne Vixens,38,Adelaide Thunderbirds,39,"Vodafone Arena, Melbourne",,,,,,,,
3,Monday 21 April 2008 ,Canterbury Tactix,42,Southern Steel,51,"Westpac Arena, Christchurch",,,,,,,,
3,Monday 21 April 2008 ,Queensland Firebirds,56,Central Pulse,28,Brisbane Convention & Exhibition Centre,,,,,,,,
4,Saturday 26 April 2008,Waikato Bay of Plenty Magic,61,West Coast Fever,47,"Mystery Creek Events Centre,Hamilton",,,,,,,,
4,Saturday 26 April 2008,Queensland Firebirds,46,Northern Mystics,40,Brisbane Convention & Exhibition Centre,,,,,,,,
4,Sunday 27 April 2008 ,Adelaide Thunderbirds,54,Southern Steel,41,"ETSA Park, Adelaide",,,,,,,,
4,Monday 28 April 2008 ,Canterbury Tactix,50,Melbourne Vixens,58,"Westpac Arena, Christchurch",,,,,,,,
4,Monday 28 April 2008 ,New South Wales Swifts,59,Central Pulse,30,Sydney Olympic Park Sports Centre,,,,,,,,
5,Saturday 3 May 2008,Waikato Bay of Plenty Magic,54,Central Pulse,37,"Mystery Creek Events Centre,Hamilton",,,,,,,,
5,Saturday 3 May 2008,West Coast Fever,46,Queensland Firebirds,65,"Challenge Stadium, Perth",,,,,,,,
5,Monday 5 May 2008,Southern Steel,48,Northern Mystics,50,"Stadium Southland, Invercargill",,,,,,,,
5,Monday 5 May 2008,New South Wales Swifts,52,Melbourne Vixens,53,Newcastle Entertainment Centre,,,,,,,,
6,Saturday 10 May 2008 ,Southern Steel,48,Canterbury Tactix,51,"Stadium Southland, Invercargill",,,,,,,,
6,Saturday 10 May 2008 ,Queensland Firebirds,66,New South Wales Swifts,52,Brisbane Convention & Exhibition Centre,,,,,,,,
6,Monday 12 May 2008,Northern Mystics,45,Waikato Bay of Plenty Magic,59,"Trusts Stadium, Auckland",,,,,,,,
6,Monday 12 May 2008,Adelaide Thunderbirds,66,West Coast Fever,50,"ETSA Park, Adelaide",,,,,,,,
7,Saturday 17 May 2008 ,Central Pulse,50,Canterbury Tactix,55,"Arena Manawatu, Palmerston North",,,,,,,,
7,Sunday 18 May 2008,Adelaide Thunderbirds,46,Melbourne Vixens,52,"ETSA Park, Adelaide",,,,,,,,
7,Monday 19 May 2008,Waikato Bay of Plenty Magic,56,Southern Steel,47,"Mystery Creek Events Centre,Hamilton",,,,,,,,
7,Monday 19 May 2008,New South Wales Swifts,66,West Coast Fever,54,Sydney Olympic Park Sports Centre,,,,,,,,
8,Saturday 24 May 2008 ,Canterbury Tactix,50,Waikato Bay of Plenty Magic,54,"Westpac Arena, Christchurch",,,,,,,,
8,Sunday 25 May 2008,Queensland Firebirds,60,Melbourne Vixens,51,Brisbane Convention & Exhibition Centre,,,,,,,,
8,Monday 26 May 2008,Central Pulse,48,Northern Mystics,54,"TSB Bank Arena, Wellington",,,,,,,,
8,Monday 26 May 2008,Adelaide Thunderbirds,44,New South Wales Swifts,50,"ETSA Park, Adelaide",,,,,,,,
9,Saturday 31 May 2008 ,Southern Steel,41,Central Pulse,29,"Stadium Southland, Invercargill",,,,,,,,
9,Sunday 1 June 2008,Melbourne Vixens,57,West Coast Fever,44,"State Netball and Hockey Centre,Melbourne",,,,,,,,
9,Monday 2 June 2008,Northern Mystics,50,Canterbury Tactix,46,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 2 June 2008,Queensland Firebirds,41,Adelaide Thunderbirds,47,Brisbane Convention & Exhibition Centre,,,,,,,,
10,Saturday 7 June 2008 ,Southern Steel,47,Melbourne Vixens,46,"Stadium Southland, Invercargill",,,,,,,,
10,Sunday 8 June 2008,Adelaide Thunderbirds,61,Canterbury Tactix,41,"ETSA Park, Adelaide",,,,,,,,
10,Sunday 8 June 2008,Waikato Bay of Plenty Magic,56,Queensland Firebirds,50,"Energy Events Centre, Rotorua",,,,,,,,
10,Monday 9 June 2008,Northern Mystics,62,New South Wales Swifts,64,"Trusts Stadium, Auckland",,,,,,,,
10,Monday 9 June 2008,West Coast Fever,33,Central Pulse,16,"Challenge Stadium, Perth",,,,,,,,
11,Saturday 14 June 2008,Northern Mystics,47,Adelaide Thunderbirds,48,"Trusts Stadium, Auckland",,,,,,,,
11,Sunday 15 June 2008,New South Wales Swifts,61,Queensland Firebirds,60,Sydney Olympic Park Sports Centre,,,,,,,,
11,Sunday 15 June 2008,Canterbury Tactix,50,Central Pulse,49,"Westpac Centre, Christchurch",,,,,,,,
11,Monday 16 June 2008,Southern Steel,58,West Coast Fever,43,"Edgar Centre, Dunedin",,,,,,,,
11,Monday 16 June 2008,Melbourne Vixens,47,Waikato Bay of Plenty Magic,40,"State Netball and Hockey Centre,Melbourne",,,,,,,,
12,Saturday 21 June 2008,Central Pulse,41,Waikato Bay of Plenty Magic,46,"TSB Bank Arena, Wellington",,,,,,,,
12,Saturday 21 June 2008,West Coast Fever,48,Melbourne Vixens,54,"Challenge Stadium, Perth",,,,,,,,
12,Sunday 22 June 2008,Queensland Firebirds,50,Canterbury Tactix,36,Brisbane Convention & Exhibition Centre,,,,,,,,
12,Monday 23 June 2008,Northern Mystics,47,Southern Steel,41,"North Shore Events Centre, Auckland",,,,,,,,
12,Monday 23 June 2008,New South Wales Swifts,51,Adelaide Thunderbirds,41,Sydney Olympic Park Sports Centre,,,,,,,,
13,Saturday 28 June 2008,Northern Mystics,42,Central Pulse,28,"North Shore Events Centre, Auckland",,,,,,,,
13,Saturday 28 June 2008,Adelaide Thunderbirds,66,Queensland Firebirds,47,"ETSA Park, Adelaide",,,,,,,,
13,Sunday 29 June 2008,West Coast Fever,50,Canterbury Tactix,44,"Challenge Stadium, Perth",,,,,,,,
13,Monday 30 June 2008,Southern Steel,47,Waikato Bay of Plenty Magic,43,"Stadium Southland, Invercargill",,,,,,,,
13,Monday 30 June 2008,Melbourne Vixens,49,New South Wales Swifts,62,"Vodafone Arena, Melbourne",,,,,,,,
14,Saturday 5 July 2008 ,Waikato Bay of Plenty Magic,69,Canterbury Tactix,44,"Mystery Creek Events Centre,Hamilton",,,,,,,,
14,Sunday 6 July 2008,Melbourne Vixens,56,Northern Mystics,47,"Vodafone Arena, Melbourne",,,,,,,,
14,Sunday 6 July 2008,Southern Steel,54,Queensland Firebirds,52,"Edgar Centre, Dunedin",,,,,,,,
14,Monday 7 July 2008,Central Pulse,32,Adelaide Thunderbirds,44,"Pettigrew Green Arena, Napier",,,,,,,,
14,Monday 7 July 2008,West Coast Fever,54,New South Wales Swifts,63,"Challenge Stadium, Perth",,,,,,,,
15,Sunday 13 July 2008,Waikato Bay of Plenty Magic,56,New South Wales Swifts,57,"Mystery Creek Events Centre,Hamilton",,,,,,,,
15,Monday 14 July 2008,Adelaide Thunderbirds,53,Melbourne Vixens,48,"ETSA Park, Adelaide",,,,,,,,
16,Monday 21 July 2008,Waikato Bay of Plenty Magic,51,Adelaide Thunderbirds,49,"Mystery Creek Events Centre,Hamilton",,,,,,,,
17,Monday 28 July 2008,New South Wales Swifts,65,Waikato Bay of Plenty Magic,56,"Acer Arena, Sydney",,,,,,,,
1,Saturday 4 April 2009,Southern Steel,55,Central Pulse,46,"Stadium Southland, Invercargill",,,,,,,,
1,Saturday 4 April 2009,Melbourne Vixens,57,West Coast Fever,44,"State Netball and Hockey Centre, Melbourne",,,,,,,,
1,Sunday 5 April 2009,Queensland Firebirds,48,Adelaide Thunderbirds,60,Brisbane Convention and Exhibition Centre,,,,,,,,
1,Monday 6 April 2009,Northern Mystics,38,Waikato Bay of Plenty Magic,51,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 6 April 2009,New South Wales Swifts,62,Canterbury Tactix,45,Sydney Olympic Park Sports Centre,,,,,,,,
2,Saturday 11 April 2009,Waikato Bay of Plenty Magic,54,Southern Steel,47,"Queen Elizabeth Youth Centre, Tauranga",,,,,,,,
2,Sunday 12 April 2009,Adelaide Thunderbirds,48,New South Wales Swifts,47,"ETSA Park, Adelaide",,,,,,,,
2,Sunday 12 April 2009,Northern Mystics,54,Central Pulse,50,"North Shore Events Centre, Auckland",,,,,,,,
2,Monday 13 April 2009,Canterbury Tactix,52,West Coast Fever,44,"Westpac Arena, Christchurch",,,,,,,,
2,Monday 13 April 2009,Queensland Firebirds,51,Melbourne Vixens,54,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Saturday 18 April 2009,Central Pulse,46,Queensland Firebirds,58,"TSB Bank Arena, Wellington",,,,,,,,
3,Sunday 19 April 2009,Adelaide Thunderbirds,43,Melbourne Vixens,49,"ETSA Park, Adelaide",,,,,,,,
3,Sunday 19 April 2009,Southern Steel,52,Canterbury Tactix,48,"The Edgar Centre, Dunedin",,,,,,,,
3,Monday 20 April 2009,Waikato Bay of Plenty Magic,63,New South Wales Swifts,45,"Mystery Creek Events Centre, Hamilton",,,,,,,,
3,Monday 20 April 2009,West Coast Fever,57,Northern Mystics,46,"Challenge Stadium, Perth",,,,,,,,
4,Saturday 25 April 2009,Central Pulse,54,West Coast Fever,60,"Arena Manawatu, Palmerston North",,,,,,,,
4,Saturday 25 April 2009,Melbourne Vixens,48,Southern Steel,31,"State Netball and Hockey Centre, Melbourne",,,,,,,,
4,Sunday 26 April 2009,Queensland Firebirds,53,Waikato Bay of Plenty Magic,42,Brisbane Convention and Exhibition Centre,,,,,,,,
4,Monday 27 April 2009,Canterbury Tactix,48,Adelaide Thunderbirds,53,"Westpac Arena, Christchurch",,,,,,,,
4,Monday 27 April 2009,New South Wales Swifts,59,Northern Mystics,55,Sydney Olympic Park Sports Centre,,,,,,,,
5,Saturday 2 May 2009,Canterbury Tactix,48,Waikato Bay of Plenty Magic,50,"Westpac Arena, Christchurch",,,,,,,,
5,Sunday 3 May 2009,Melbourne Vixens,50,Adelaide Thunderbirds,42,"Hisense Arena, Melbourne",,,,,,,,
5,Monday 4 May 2009,Central Pulse,60,Northern Mystics,61,"TSB Bank Arena, Wellington",,,,,,,,
5,Monday 4 May 2009,West Coast Fever,67,New South Wales Swifts,66,"Challenge Stadium, Perth",,,,,,,,
6,Saturday 9 May 2009,Waikato Bay of Plenty Magic,59,Central Pulse,36,"Mystery Creek Events Centre, Hamilton",,,,,,,,
6,Sunday 10 May 2009,New South Wales Swifts,40,Adelaide Thunderbirds,51,Sydney Olympic Park Sports Centre,,,,,,,,
6,Monday 11 May 2009,Northern Mystics,52,Southern Steel,61,"Trusts Stadium, Auckland",,,,,,,,
6,Monday 11 May 2009,Queensland Firebirds,56,West Coast Fever,53,Brisbane Convention and Exhibition Centre,,,,,,,,
7,Saturday 16 May 2009,Canterbury Tactix,47,Southern Steel,48,"Westpac Arena, Christchurch",,,,,,,,
7,Sunday 17 May 2009,West Coast Fever,49,Melbourne Vixens,74,"Challenge Stadium, Perth",,,,,,,,
7,Monday 18 May 2009,Waikato Bay of Plenty Magic,50,Northern Mystics,35,"Energy Events Centre, Rotorua",,,,,,,,
7,Monday 18 May 2009,New South Wales Swifts,54,Queensland Firebirds,58,Sydney Olympic Park Sports Centre,,,,,,,,
8,Saturday 23 May 2009,Canterbury Tactix,49,Central Pulse,46,"Westpac Arena, Christchurch",,,,,,,,
8,Sunday 24 May 2009,Adelaide Thunderbirds,51,Queensland Firebirds,50,"ETSA Park, Adelaide",,,,,,,,
8,Monday 25 May 2009,Southern Steel,39,Waikato Bay of Plenty Magic,48,"Stadium Southland, Invercargill",,,,,,,,
8,Monday 25 May 2009,Melbourne Vixens,65,New South Wales Swifts,63,"Hisense Arena, Melbourne",,,,,,,,
9,Saturday 30 May 2009,Central Pulse,44,Southern Steel,66,"TSB Bank Arena, Wellington",,,,,,,,
9,Sunday 31 May 2009,Melbourne Vixens,57,Queensland Firebirds,53,"Hisense Arena, Melbourne",,,,,,,,
9,Monday 1 June 2009,Northern Mystics,47,Canterbury Tactix,46,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 1 June 2009,West Coast Fever,41,Adelaide Thunderbirds,61,"Challenge Stadium, Perth",,,,,,,,
10,Saturday 6 June 2009,Central Pulse,45,Canterbury Tactix,59,"Te Rauparaha Arena, Porirua",,,,,,,,
10,Saturday 6 June 2009,Adelaide Thunderbirds,58,Northern Mystics,34,"Adelaide Arena, Adelaide",,,,,,,,
10,Sunday 7 June 2009,Queensland Firebirds,62,New South Wales Swifts,61,Brisbane Convention and Exhibition Centre,,,,,,,,
10,Monday 8 June 2009,Waikato Bay of Plenty Magic,55,Melbourne Vixens,48,"Queen Elizabeth Youth Centre, Tauranga",,,,,,,,
10,Monday 8 June 2009,West Coast Fever,59,Southern Steel,48,"Challenge Stadium, Perth",,,,,,,,
11,Saturday 13 June 2009,Canterbury Tactix,53,Queensland Firebirds,46,"Westpac Arena, Christchurch",,,,,,,,
11,Sunday 14 June 2009,Adelaide Thunderbirds,58,West Coast Fever,39,"ETSA Park, Adelaide",,,,,,,,
11,Sunday 14 June 2009,Central Pulse,35,Waikato Bay of Plenty Magic,67,"TSB Bank Arena, Wellington",,,,,,,,
11,Monday 15 June 2009,Southern Steel,52,Northern Mystics,50,"Stadium Southland, Invercargill",,,,,,,,
11,Monday 15 June 2009,New South Wales Swifts,52,Melbourne Vixens,63,Sydney Olympic Park Sports Centre,,,,,,,,
12,Saturday 20 June 2009,Northern Mystics,57,Melbourne Vixens,61,"Trusts Stadium, Auckland",,,,,,,,
12,Saturday 20 June 2009,Adelaide Thunderbirds,70,Central Pulse,40,"ETSA Park, Adelaide",,,,,,,,
12,Sunday 21 June 2009,New South Wales Swifts,60,West Coast Fever,63,Sydney Olympic Park Sports Centre,,,,,,,,
12,Monday 22 June 2009,Waikato Bay of Plenty Magic,50,Canterbury Tactix,46,"Energy Events Centre, Rotorua",,,,,,,,
12,Monday 22 June 2009,Queensland Firebirds,52,Southern Steel,50,Brisbane Convention and Exhibition Centre,,,,,,,,
13,Saturday 27 June 2009,Northern Mystics,57,Queensland Firebirds,59,"Trusts Stadium, Auckland",,,,,,,,
13,Sunday 28 June 2009,West Coast Fever,38,Waikato Bay of Plenty Magic,49,"Challenge Stadium, Perth",,,,,,,,
13,Sunday 28 June 2009,Central Pulse,53,New South Wales Swifts,52,"Te Rauparaha Arena, Porirua",,,,,,,,
13,Monday 29 June 2009,Southern Steel,58,Adelaide Thunderbirds,49,"The Edgar Centre, Dunedin",,,,,,,,
13,Monday 29 June 2009,Melbourne Vixens,63,Canterbury Tactix,35,"Hisense Arena, Melbourne",,,,,,,,
14,Saturday 4 July 2009,Southern Steel,55,New South Wales Swifts,48,"Stadium Southland, Invercargill",,,,,,,,
14,Saturday 4 July 2009,Melbourne Vixens,80,Central Pulse,39,"Hisense Arena, Melbourne",,,,,,,,
14,Sunday 5 July 2009,Adelaide Thunderbirds,54,Waikato Bay of Plenty Magic,35,"Adelaide Arena, Adelaide",,,,,,,,
14,Monday 6 July 2009,Canterbury Tactix,63,Northern Mystics,56,"Westpac Arena, Christchurch",,,,,,,,
14,Monday 6 July 2009,West Coast Fever,52,Queensland Firebirds,54,"Challenge Stadium, Perth",,,,,,,,
15,Sunday 12 July 2009,Melbourne Vixens,58,Waikato Bay of Plenty Magic,43,"Hisense Arena, Melbourne",,,,,,,,
15,Monday 13 July 2009,Adelaide Thunderbirds,51,Southern Steel,45,"ETSA Park, Adelaide",,,,,,,,
16,Sunday 19 July 2009,Waikato Bay of Plenty Magic,37,Adelaide Thunderbirds,51,"Mystery Creek Events Centre, Hamilton",,,,,,,,
17,Sunday 26 July 2009,Melbourne Vixens,54,Adelaide Thunderbirds,46,"Hisense Arena, Melbourne",,,,,,,,
1,Saturday 20 March 2010,Northern Mystics,55,Adelaide Thunderbirds,52,"Trusts Stadium, Auckland",,,,,,,,
1,Sunday 21 March 2010,Queensland Firebirds,47,New South Wales Swifts,50,Gold Coast Convention and Exhibition Centre,,,,,,,,
1,Sunday 21 March 2010,Southern Steel,46,West Coast Fever,44,"Stadium Southland, Invercargill",,,,,,,,
1,Monday 22 March 2010,Canterbury Tactix,54,Central Pulse,48,"Westpac Arena, Christchurch",,,,,,,,
1,Monday 22 March 2010,Melbourne Vixens,48,Waikato Bay of Plenty Magic,40,"Hisense Arena, Melbourne",,,,,,,,
2,Saturday 27 March 2010,Central Pulse,50,Northern Mystics,61,"Te Rauparaha Arena, Porirua",,,,,,,,
2,Saturday 27 March 2010,Adelaide Thunderbirds,38,New South Wales Swifts,45,"ETSA Park, Adelaide",,,,,,,,
2,Sunday 28 March 2010,Melbourne Vixens,53,Queensland Firebirds,46,"Hisense Arena, Melbourne",,,,,,,,
2,Monday 29 March 2010,Waikato Bay of Plenty Magic,47,Southern Steel,41,"Energy Events Centre, Rotorua",,,,,,,,
2,Monday 29 March 2010,West Coast Fever,62,Canterbury Tactix,44,"Challenge Stadium, Perth",,,,,,,,
3,Saturday 3 April 2010,Northern Mystics,46,Waikato Bay of Plenty Magic,55,"Trusts Stadium, Auckland",,,,,,,,
3,Sunday 4 April 2010,Queensland Firebirds,40,Adelaide Thunderbirds,41,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Sunday 4 April 2010,Canterbury Tactix,53,New South Wales Swifts,56,"Westpac Arena, Christchurch",,,,,,,,
3,Monday 5 April 2010,Southern Steel,56,Central Pulse,44,"Edgar Centre, Dunedin",,,,,,,,
3,Monday 5 April 2010,West Coast Fever,50,Melbourne Vixens,64,"Challenge Stadium, Perth",,,,,,,,
4,Saturday 10 April 2010,Waikato Bay of Plenty Magic,55,West Coast Fever,50,"Mystery Creek Events Centre, Hamilton",,,,,,,,
4,Saturday 10 April 2010,New South Wales Swifts,50,Central Pulse,36,"State Sports Centre, Sydney",,,,,,,,
4,Sunday 11 April 2010,Adelaide Thunderbirds,53,Southern Steel,36,"ETSA Park, Adelaide",,,,,,,,
4,Monday 12 April 2010,Canterbury Tactix,49,Melbourne Vixens,64,"Westpac Arena, Christchurch",,,,,,,,
4,Monday 12 April 2010,Queensland Firebirds,71,Northern Mystics,54,Brisbane Convention and Exhibition Centre,,,,,,,,
5,Saturday 17 April 2010,Central Pulse,40,Adelaide Thunderbirds,75,"TSB Bank Arena, Wellington",,,,,,,,
5,Sunday 18 April 2010,New South Wales Swifts,55,West Coast Fever,43,Newcastle Entertainment Centre,,,,,,,,
5,Sunday 18 April 2010,Canterbury Tactix,36,Waikato Bay of Plenty Magic,53,"Westpac Arena, Christchurch",,,,,,,,
5,Monday 19 April 2010,Southern Steel,41,Queensland Firebirds,56,"Stadium Southland, Invercargill",,,,,,,,
5,Monday 19 April 2010,Melbourne Vixens,62,Northern Mystics,51,"Hisense Arena, Melbourne",,,,,,,,
6,Saturday 24 April 2010,Northern Mystics,59,Canterbury Tactix,50,"Trusts Stadium, Auckland",,,,,,,,
6,Sunday 25 April 2010,Queensland Firebirds,62,Melbourne Vixens,41,Brisbane Convention and Exhibition Centre,,,,,,,,
6,Monday 26 April 2010,Central Pulse,40,Southern Steel,64,"TSB Bank Arena, Wellington",,,,,,,,
6,Monday 26 April 2010,West Coast Fever,37,Adelaide Thunderbirds,57,"Challenge Stadium, Perth",,,,,,,,
7,Saturday 1 May 2010,Canterbury Tactix,38,Southern Steel,66,"Westpac Arena, Christchurch",,,,,,,,
7,Sunday 2 May  2010,New South Wales Swifts,56,Melbourne Vixens,42,"Acer Arena, Sydney",,,,,,,,
7,Monday 3 May  2010,Waikato Bay of Plenty Magic,49,Northern Mystics,46,"Mystery Creek Events Centre, Hamilton",,,,,,,,
7,Monday 3 May  2010,Queensland Firebirds,63,West Coast Fever,57,Brisbane Convention and Exhibition Centre,,,,,,,,
8,Saturday 8 May 2010,Waikato Bay of Plenty Magic,56,Central Pulse,44,"Energy Events Centre, Rotorua",,,,,,,,
8,Sunday 9 May 2010,New South Wales Swifts,60,Adelaide Thunderbirds,44,"State Sports Centre, Sydney",,,,,,,,
8,Monday 10 May 2010,Southern Steel,49,Northern Mystics,52,"Stadium Southland, Invercargill",,,,,,,,
8,Monday 10 May 2010,Melbourne Vixens,53,West Coast Fever,56,"Hisense Arena, Melbourne",,,,,,,,
9,Saturday 15 May 2010,Waikato Bay of Plenty Magic,72,Canterbury Tactix,52,"Mystery Creek Events Centre, Hamilton",,,,,,,,
9,Sunday 16 May 2010,Adelaide Thunderbirds,58,Melbourne Vixens,47,"ETSA Park, Adelaide",,,,,,,,
9,Monday 17 May 2010,Northern Mystics,61,Central Pulse,60,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 17 May 2010,New South Wales Swifts,44,Queensland Firebirds,40,"State Sports Centre, Sydney",,,,,,,,
10,Saturday 22 May 2010,Central Pulse,45,Canterbury Tactix,43,"TSB Bank Arena, Wellington",,,,,,,,
10,Sunday 23 May 2010,Adelaide Thunderbirds,53,Queensland Firebirds,51,"ETSA Park, Adelaide",,,,,,,,
10,Monday 24 May 2010,Southern Steel,52,Waikato Bay of Plenty Magic,47,"Stadium Southland, Invercargill",,,,,,,,
10,Monday 24 May 2010,West Coast Fever,52,New South Wales Swifts,61,"Challenge Stadium, Perth",,,,,,,,
11,Saturday 29 May 2010,Northern Mystics,48,New South Wales Swifts,54,"Trusts Stadium, Auckland",,,,,,,,
11,Sunday 30 May 2010,Adelaide Thunderbirds,58,Canterbury Tactix,34,"ETSA Park, Adelaide",,,,,,,,
11,Sunday 30 May 2010,Southern Steel,52,Melbourne Vixens,39,"Edgar Centre, Dunedin",,,,,,,,
11,Monday 31 May 2010,Waikato Bay of Plenty Magic,54,Queensland Firebirds,55,"Energy Events Centre, Rotorua",,,,,,,,
11,Monday 31 May 2010,West Coast Fever,63,Central Pulse,45,"Challenge Stadium, Perth",,,,,,,,
12,Saturday 5 June 2010,Northern Mystics,62,West Coast Fever,53,"North Shore Events Centre, Auckland",,,,,,,,
12,Saturday 5 June 2010,Queensland Firebirds,52,Central Pulse,42,Brisbane Convention and Exhibition Centre,,,,,,,,
12,Sunday 6 June 2010,Melbourne Vixens,43,Adelaide Thunderbirds,54,"Hisense Arena, Melbourne",,,,,,,,
12,Monday 7 June 2010,Southern Steel,53,Canterbury Tactix,39,"Stadium Southland, Invercargill",,,,,,,,
12,Monday 7 June 2010,New South Wales Swifts,60,Waikato Bay of Plenty Magic,43,"State Sports Centre, Sydney",,,,,,,,
13,Saturday 12 June 2010,Central Pulse,52,Waikato Bay of Plenty Magic,58,"Pettigrew Green Arena, Napier",,,,,,,,
13,Saturday 12 June 2010,Melbourne Vixens,46,New South Wales Swifts,58,"Hisense Arena, Melbourne",,,,,,,,
13,Sunday 13 June 2010,Adelaide Thunderbirds,54,West Coast Fever,45,"Adelaide Arena, Adelaide",,,,,,,,
13,Monday 14 June 2010,Northern Mystics,43,Southern Steel,50,"Trusts Stadium, Auckland",,,,,,,,
13,Monday 14 June 2010,Queensland Firebirds,75,Canterbury Tactix,32,Brisbane Convention and Exhibition Centre,,,,,,,,
14,Saturday 19 June 2010,Waikato Bay of Plenty Magic,53,Adelaide Thunderbirds,44,"Energy Events Centre, Rotorua",,,,,,,,
14,Sunday 20 June 2010,West Coast Fever,67,Queensland Firebirds,59,"Challenge Stadium, Perth",,,,,,,,
14,Sunday 20 June 2010,Canterbury Tactix,47,Northern Mystics,58,"Westpac Arena, Christchurch",,,,,,,,
14,Monday 21 June 2010,Central Pulse,48,Melbourne Vixens,49,"Te Rauparaha Arena, Porirua",,,,,,,,
14,Monday 21 June 2010,New South Wales Swifts,55,Southern Steel,38,"State Sports Centre, Sydney",,,,,,,,
15,Sunday 27 June 2010,New South Wales Swifts,38,Adelaide Thunderbirds,52,"Acer Arena, Sydney",,,,,,,,
15,Monday 28 June 2010,Waikato Bay of Plenty Magic,50,Southern Steel,42,"Vector Arena, Auckland ",,,,,,,,
16,Sunday 4 July 2010,New South Wales Swifts,49,Waikato Bay of Plenty Magic,54,Newcastle Entertainment Centre,,,,,,,,
