Round,Date,Home Team,Home Score,Away Team,Away Score,Venue,,,,,,,,
17,Sunday 11 July 2010,Adelaide Thunderbirds,52,Waikato Bay of Plenty Magic,42,Adelaide Entertainment Centre,,,,,,,,
1,Sunday 13 February 2011,New South Wales Swifts,60,Adelaide Thunderbirds,40,"State Sports Centre, Sydney",,,,,,,,
1,Monday 14 February 2011,Northern Mystics,51,Southern Steel,34,"Trusts Stadium, Auckland",,,,,,,,
2,Saturday 19 February 2011,Central Pulse,44,Northern Mystics,54,"Te Rauparaha Arena, Porirua",,,,,,,,
2,Sunday 20 February 2011,Adelaide Thunderbirds,47,Melbourne Vixens,65,"ETSA Park, Adelaide",,,,,,,,
2,Sunday 20 February 2011,Waikato Bay of Plenty Magic,51,Southern Steel,36,"Energy Events Centre, Rotorua",,,,,,,,
2,Monday 21 February 2011,Canterbury Tactix,48,West Coast Fever,54,"CBS Canterbury Arena, Christchurch",,,,,,,,
2,Monday 21 February 2011,Queensland Firebirds,51,New South Wales Swifts,48,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Thursday 24 February 2011,Northern Mystics,39,Waikato Bay of Plenty Magic,45,"Trusts Stadium, Auckland",,,,,,,,
3,Thursday 24 February 2011,West Coast Fever,53,Adelaide Thunderbirds,72,"Challenge Stadium, Perth",,,,,,,,
3,Saturday 26 February 2011,Central Pulse,43,Southern Steel,45,"Te Rauparaha Arena, Porirua",,,,,,,,
3,Saturday 26 February 2011,Queensland Firebirds,64,Adelaide Thunderbirds,41,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Sunday 27 February 2011,New South Wales Swifts,45,Melbourne Vixens,49,"State Sports Centre, Sydney",,,,,,,,
3,Thursday 7 April 2011,Canterbury Tactix,45,Northern Mystics,58,"Vector Arena, Auckland",,,,,,,,
3,Monday 28 February 2011,Central Pulse,44,Waikato Bay of Plenty Magic,46,"TSB Bank Arena, Wellington",,,,,,,,
3,Monday 28 February 2011,West Coast Fever,38,Queensland Firebirds,62,"Challenge Stadium, Perth",,,,,,,,
4,Saturday 5 March 2011,Adelaide Thunderbirds,51,Central Pulse,41,"ETSA Park, Adelaide",,,,,,,,
4,Sunday 6 March 2011,Queensland Firebirds,51,Southern Steel,36,Brisbane Convention and Exhibition Centre,,,,,,,,
4,Sunday 6 March 2011,Northern Mystics,56,Melbourne Vixens,54,"Trusts Stadium, Auckland",,,,,,,,
4,Monday 7 March 2011,Canterbury Tactix,56,Waikato Bay of Plenty Magic,63,"Energy Events Centre, Rotorua",,,,,,,,
4,Monday 7 March 2011,New South Wales Swifts,55,West Coast Fever,51,"State Sports Centre, Sydney",,,,,,,,
5,Sunday 13 March 2011,Adelaide Thunderbirds,42,Queensland Firebirds,64,"ETSA Park, Adelaide",,,,,,,,
5,Sunday 13 March 2011,Waikato Bay of Plenty Magic,46,Northern Mystics,47,"Mystery Creek Events Centre, Hamilton",,,,,,,,
5,Monday 14 March 2011,Southern Steel,50,Central Pulse,44,Invercargill ILT Velodrome,,,,,,,,
5,Monday 14 March 2011,New South Wales Swifts,54,Canterbury Tactix,45,"State Sports Centre, Sydney",,,,,,,,
6,Thursday 17 March 2011,West Coast Fever,49,New South Wales Swifts,70,"Challenge Stadium, Perth",,,,,,,,
6,Saturday 19 March 2011,West Coast Fever,50,Southern Steel,47,"Challenge Stadium, Perth",,,,,,,,
6,Sunday 20 March 2011,New South Wales Swifts,53,Queensland Firebirds,57,"State Sports Centre, Sydney",,,,,,,,
6,Sunday 20 March 2011,Central Pulse,46,Canterbury Tactix,43,"Arena Manawatu, Palmerston North",,,,,,,,
6,Monday 21 March 2011,Waikato Bay of Plenty Magic,53,Melbourne Vixens,41,"Mystery Creek Events Centre, Hamilton",,,,,,,,
6,Monday 21 March 2011,Adelaide Thunderbirds,57,Northern Mystics,55,"ETSA Park, Adelaide",,,,,,,,
7,Saturday 26 March 2011,Northern Mystics,52,Queensland Firebirds,61,"Trusts Stadium, Auckland",,,,,,,,
7,Sunday 27 March 2011,Melbourne Vixens,65,Canterbury Tactix,50,"Hisense Arena, Melbourne",,,,,,,,
7,Sunday 27 March 2011,Central Pulse,43,New South Wales Swifts,48,"TSB Bank Arena, Wellington",,,,,,,,
7,Monday 28 March 2011,Southern Steel,52,Adelaide Thunderbirds,48,Invercargill ILT Velodrome,,,,,,,,
7,Monday 28 March 2011,West Coast Fever,41,Waikato Bay of Plenty Magic,42,"Challenge Stadium, Perth",,,,,,,,
8,Thursday 31 March 2011,Canterbury Tactix,49,Southern Steel,44,"CBS Canterbury Arena, Christchurch",,,,,,,,
8,Thursday 31 March 2011,Melbourne Vixens,42,Queensland Firebirds,52,"State Netball and Hockey Centre,Melbourne",,,,,,,,
8,Saturday 2 April 2011,Northern Mystics,61,Central Pulse,48,"Trusts Stadium, Auckland",,,,,,,,
8,Sunday 3 April 2011,Melbourne Vixens,42,Southern Steel,33,"Hisense Arena, Melbourne",,,,,,,,
8,Sunday 3 April 2011,Canterbury Tactix,56,Adelaide Thunderbirds,59,"CBS Canterbury Arena, Christchurch",,,,,,,,
8,Monday 4 April 2011,Central Pulse,63,West Coast Fever,61,"Te Rauparaha Arena, Porirua",,,,,,,,
8,Monday 4 April 2011,Queensland Firebirds,53,Waikato Bay of Plenty Magic,49,Brisbane Convention and Exhibition Centre,,,,,,,,
9,Saturday 9 April 2011,Southern Steel,49,Canterbury Tactix,40,"Edgar Centre, Dunedin",,,,,,,,
9,Sunday 10 April 2011,Melbourne Vixens,55,Adelaide Thunderbirds,53,"Hisense Arena, Melbourne",,,,,,,,
9,Sunday 10 April 2011,Central Pulse,44,Queensland Firebirds,61,"Te Rauparaha Arena, Porirua",,,,,,,,
9,Monday 11 April 2011,Waikato Bay of Plenty Magic,46,New South Wales Swifts,53,"Queen Elizabeth Youth Centre, Tauranga",,,,,,,,
9,Monday 11 April 2011,West Coast Fever,54,Northern Mystics,56,"Challenge Stadium, Perth",,,,,,,,
10,Thursday 14 April 2011,Waikato Bay of Plenty Magic,53,Canterbury Tactix,49,"Energy Events Centre, Rotorua",,,,,,,,
10,Thursday 14 April 2011,Queensland Firebirds,57,Melbourne Vixens,36,Brisbane Convention and Exhibition Centre,,,,,,,,
10,Saturday 16 April 2011,Adelaide Thunderbirds,57,New South Wales Swifts,53,"ETSA Park, Adelaide",,,,,,,,
10,Sunday 17 April 2011,West Coast Fever,38,Melbourne Vixens,54,"Challenge Stadium, Perth",,,,,,,,
10,Sunday 17 April 2011,Southern Steel,33,Waikato Bay of Plenty Magic,38,Invercargill ILT Velodrome,,,,,,,,
10,Monday 18 April 2011,Canterbury Tactix,45,Central Pulse,47,"CBS Canterbury Arena, Christchurch",,,,,,,,
10,Monday 18 April 2011,New South Wales Swifts,53,Northern Mystics,46,"State Sports Centre, Sydney",,,,,,,,
11,Thursday 21 April 2011,Southern Steel,39,New South Wales Swifts,40,"Edgar Centre, Dunedin",,,,,,,,
11,Saturday 23 April 2011,Melbourne Vixens,58,Central Pulse,42,"Hisense Arena, Melbourne",,,,,,,,
11,Sunday 24 April 2011,Adelaide Thunderbirds,36,Waikato Bay of Plenty Magic,55,"ETSA Park, Adelaide",,,,,,,,
11,Sunday 24 April 2011,Northern Mystics,62,Canterbury Tactix,43,"Trusts Stadium, Auckland",,,,,,,,
11,Monday 25 April 2011,Queensland Firebirds,56,West Coast Fever,54,Brisbane Convention and Exhibition Centre,,,,,,,,
12,Saturday 30 April 2011,Canterbury Tactix,52,Queensland Firebirds,69,"CBS Canterbury Arena, Christchurch",,,,,,,,
12,Sunday 1 May 2011,Melbourne Vixens,33,New South Wales Swifts,45,"Hisense Arena, Melbourne",,,,,,,,
12,Sunday 1 May 2011,Southern Steel,35,Northern Mystics,47,Invercargill ILT Velodrome,,,,,,,,
12,Monday 2 May 2011,Waikato Bay of Plenty Magic,60,Central Pulse,50,Taupo Events Centre,,,,,,,,
12,Monday 2 May 2011,Adelaide Thunderbirds,59,West Coast Fever,64,"ETSA Park, Adelaide",,,,,,,,
13,Sunday 8 May 2011,New South Wales Swifts,44,Northern Mystics,49,Sydney Olympic Park Sports Centre,,,,,,,,
13,Monday 9 May 2011,Queensland Firebirds,50,Waikato Bay of Plenty Magic,39,Gold Coast Convention and Exhibition Centre,,,,,,,,
14,Sunday 15 May 2011,Waikato Bay of Plenty Magic,42,Northern Mystics,43,"Mystery Creek Events Centre, Hamilton",,,,,,,,
15,Sunday 22 May 2011,Queensland Firebirds,57,Northern Mystics,44,Brisbane Convention and Exhibition Centre,,,,,,,,
1,Saturday 31 March 2012,Adelaide Thunderbirds,57,New South Wales Swifts,40,"Netball SA Stadium, Adelaide",,,,,,,,
1,Sunday 1 April 2012,Queensland Firebirds,42,Melbourne Vixens,47,Brisbane Convention and Exhibition Centre,,,,,,,,
1,Sunday 1 April 2012,Northern Mystics,51,Central Pulse,47,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 2 April 2012,Southern Steel,49,Waikato Bay of Plenty Magic,47,"Stadium Southland Velodrome,Invercargill",,,,,,,,
1,Monday 2 April 2012,West Coast Fever,55,Canterbury Tactix,35,"Challenge Stadium, Perth",,,,,,,,
2,Saturday 7 April 2012,Central Pulse,47,Southern Steel,42,"Pettigrew Green Arena, Napier",,,,,,,,
2,Sunday 8 April 2012,Queensland Firebirds,44,Adelaide Thunderbirds,54,Brisbane Convention and Exhibition Centre,,,,,,,,
2,Sunday 8 April 2012,West Coast Fever,41,Melbourne Vixens,50,"Challenge Stadium, Perth",,,,,,,,
2,Sunday 8 April 2012,Waikato Bay of Plenty Magic,41,Northern Mystics,47,"Claudelands Arena, Hamilton",,,,,,,,
2,Monday 9 April 2012,Canterbury Tactix,54,New South Wales Swifts,51,"CBS Canterbury Arena, Christchurch",,,,,,,,
3,Sunday 15 April 2012,Queensland Firebirds,58,Central Pulse,32,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Sunday 15 April 2012,Adelaide Thunderbirds,34,Melbourne Vixens,48,"Netball SA Stadium, Adelaide",,,,,,,,
3,Sunday 15 April 2012,Canterbury Tactix,53,Southern Steel,55,"CBS Canterbury Arena, Christchurch",,,,,,,,
3,Monday 16 April 2012,Northern Mystics,52,West Coast Fever,45,"Trusts Stadium, Auckland",,,,,,,,
3,Monday 16 April 2012,New South Wales Swifts,49,Waikato Bay of Plenty Magic,47,"State Sports Centre, Sydney",,,,,,,,
4,Saturday 21 April 2012,Southern Steel,53,West Coast Fever,56,"Lion Foundation Arena, Dunedin",,,,,,,,
4,Sunday 22 April 2012,Melbourne Vixens,40,Waikato Bay of Plenty Magic,39,"Hisense Arena, Melbourne",,,,,,,,
4,Sunday 22 April 2012,New South Wales Swifts,54,Queensland Firebirds,49,"State Sports Centre, Sydney",,,,,,,,
4,Sunday 22 April 2012,Northern Mystics,48,Adelaide Thunderbirds,50,"Trusts Stadium, Auckland",,,,,,,,
4,Monday 23 April 2012,Central Pulse,50,Canterbury Tactix,45,"Te Rauparaha Arena, Porirua",,,,,,,,
5,Sunday 29 April 2012,West Coast Fever,36,Adelaide Thunderbirds,48,"Challenge Stadium, Perth",,,,,,,,
5,Sunday 29 April 2012,Melbourne Vixens,52,Queensland Firebirds,51,"Hisense Arena, Melbourne",,,,,,,,
5,Sunday 29 April 2012,Central Pulse,47,Northern Mystics,51,"Arena Manawatu, Palmerston North",,,,,,,,
5,Monday 30 April 2012,Waikato Bay of Plenty Magic,61,Canterbury Tactix,52,"Energy Events Centre, Rotorua",,,,,,,,
6,Sunday 6 May 2012,New South Wales Swifts,39,Central Pulse,36,"State Sports Centre, Sydney",,,,,,,,
6,Sunday 6 May 2012,Queensland Firebirds,56,Northern Mystics,43,Gold Coast Convention and Exhibition Centre,,,,,,,,
6,Sunday 6 May 2012,Waikato Bay of Plenty Magic,65,West Coast Fever,49,"TECT Arena, Tauranga",,,,,,,,
6,Monday 7 May 2012,Canterbury Tactix,41,Melbourne Vixens,65,"CBS Canterbury Arena, Christchurch",,,,,,,,
6,Monday 7 May 2012,Adelaide Thunderbirds,58,Southern Steel,48,"Netball SA Stadium, Adelaide",,,,,,,,
7,Sunday 13 May 2012,Adelaide Thunderbirds,60,West Coast Fever,43,"Netball SA Stadium, Adelaide",,,,,,,,
7,Sunday 13 May 2012,New South Wales Swifts,55,Melbourne Vixens,52,"Allphones Arena, Sydney",,,,,,,,
7,Sunday 13 May 2012,Southern Steel,45,Northern Mystics,49,"Lion Foundation Arena, Dunedin",,,,,,,,
7,Monday 14 May 2012,Central Pulse,46,Waikato Bay of Plenty Magic,56,"Te Rauparaha Arena, Porirua",,,,,,,,
7,Monday 14 May 2012,Queensland Firebirds,64,Canterbury Tactix,48,Brisbane Convention and Exhibition Centre,,,,,,,,
8,Saturday 19 May 2012,Canterbury Tactix,42,Waikato Bay of Plenty Magic,65,"CBS Canterbury Arena, Christchurch",,,,,,,,
8,Sunday 20 May 2012,Melbourne Vixens,45,Northern Mystics,49,"Hisense Arena, Melbourne",,,,,,,,
8,Sunday 20 May 2012,New South Wales Swifts,52,West Coast Fever,47,Newcastle Entertainment Centre,,,,,,,,
8,Sunday 20 May 2012,Southern Steel,60,Queensland Firebirds,61,"Stadium Southland Velodrome,Invercargill",,,,,,,,
8,Monday 21 May 2012,Central Pulse,47,Adelaide Thunderbirds,46,"TSB Bank Arena, Wellington",,,,,,,,
9,Sunday 27 May 2012,West Coast Fever,55,Queensland Firebirds,56,"Challenge Stadium, Perth",,,,,,,,
9,Sunday 27 May 2012,Melbourne Vixens,43,New South Wales Swifts,49,"Hisense Arena, Melbourne",,,,,,,,
9,Sunday 27 May 2012,Northern Mystics,57,Canterbury Tactix,56,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 28 May 2012,Southern Steel,50,Central Pulse,58,"Lion Foundation Arena, Dunedin",,,,,,,,
10,Sunday 3 June 2012,Queensland Firebirds,50,New South Wales Swifts,45,Brisbane Convention and Exhibition Centre,,,,,,,,
10,Sunday 3 June 2012,Melbourne Vixens,48,Adelaide Thunderbirds,40,"Hisense Arena, Melbourne",,,,,,,,
10,Sunday 3 June 2012,Canterbury Tactix,47,Central Pulse,54,"CBS Canterbury Arena, Christchurch",,,,,,,,
10,Monday 4 June 2012,Waikato Bay of Plenty Magic,66,Southern Steel,47,"Claudelands Arena, Hamilton",,,,,,,,
11,Sunday 10 June 2012,Adelaide Thunderbirds,54,Queensland Firebirds,49,"Netball SA Stadium, Adelaide",,,,,,,,
11,Sunday 10 June 2012,West Coast Fever,49,New South Wales Swifts,51,"Challenge Stadium, Perth",,,,,,,,
11,Sunday 10 June 2012,Waikato Bay of Plenty Magic,52,Central Pulse,42,"TECT Arena, Tauranga",,,,,,,,
11,Monday 11 June 2012,Northern Mystics,60,Southern Steel,49,"Trusts Stadium, Auckland",,,,,,,,
12,Sunday 17 June 2012,Melbourne Vixens,50,West Coast Fever,49,"Hisense Arena, Melbourne",,,,,,,,
12,Sunday 17 June 2012,New South Wales Swifts,35,Adelaide Thunderbirds,62,"State Sports Centre, Sydney",,,,,,,,
12,Sunday 17 June 2012,Northern Mystics,46,Waikato Bay of Plenty Magic,48,"Trusts Stadium, Auckland",,,,,,,,
12,Monday 18 June 2012,Southern Steel,61,Canterbury Tactix,62,Invercargill ILT Velodrome,,,,,,,,
13,Saturday 23 June 2012,Waikato Bay of Plenty Magic,59,Adelaide Thunderbirds,42,"TECT Arena, Tauranga",,,,,,,,
13,Sunday 24 June 2012,New South Wales Swifts,55,Southern Steel,42,"State Sports Centre, Sydney",,,,,,,,
13,Sunday 24 June 2012,Queensland Firebirds,63,West Coast Fever,43,Brisbane Convention and Exhibition Centre,,,,,,,,
13,Sunday 24 June 2012,Canterbury Tactix,55,Northern Mystics,64,"CBS Canterbury Arena, Christchurch",,,,,,,,
13,Monday 25 June 2012,Central Pulse,41,Melbourne Vixens,49,"Te Rauparaha, Porirua",,,,,,,,
14,Saturday 30 June 2012,Southern Steel,38,Melbourne Vixens,56,Invercargill ILT Velodrome,,,,,,,,
14,Sunday 1 July 2012,Adelaide Thunderbirds,65,Canterbury Tactix,44,"Netball SA Stadium, Adelaide",,,,,,,,
14,Sunday 1 July 2012,West Coast Fever,40,Central Pulse,38,"Challenge Stadium, Perth",,,,,,,,
14,Sunday 1 July 2012,Northern Mystics,50,New South Wales Swifts,49,"Trusts Stadium, Auckland",,,,,,,,
14,Monday 2 July 2012,Waikato Bay of Plenty Magic,53,Queensland Firebirds,43,"Claudelands Arena, Hamilton",,,,,,,,
15,Sunday 8 July 2012,Melbourne Vixens,56,Northern Mystics,50,"Rod Laver Arena, Melbourne",,,,,,,,
15,Monday 9 July 2012,Waikato Bay of Plenty Magic,49,Adelaide Thunderbirds,48,"Claudelands Arena, Hamilton",,,,,,,,
16,Monday 16 July 2012,Northern Mystics,48,Waikato Bay of Plenty Magic,57,"Trust Stadium, Auckland",,,,,,,,
17,Sunday 22 July 2012,Melbourne Vixens,38,Waikato Bay of Plenty Magic,41,"Hisense Arena, Melbourne",,,,,,,,
1,Sunday 24 March 2013,Queensland Firebirds,68,Southern Steel,59,Brisbane Convention and Exhibition Centre,,,,,,,,
1,Sunday 24 March 2013,Adelaide Thunderbirds,49,Central Pulse,42,"Netball SA Stadium, Adelaide",,,,,,,,
1,Sunday 24 March 2013,Canterbury Tactix,46,Waikato Bay of Plenty Magic,69,"Trafalgar Centre, Nelson",,,,,,,,
1,Monday 25 March 2013,Northern Mystics,46,Melbourne Vixens,60,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 25 March 2013,New South Wales Swifts,55,West Coast Fever,41,"State Sports Centre, Sydney",,,,,,,,
2,Saturday 30 March 2013,Canterbury Tactix,56,Southern Steel,75,"CBS Canterbury Arena, Christchurch",,,,,,,,
2,Sunday 31 March 2013,Melbourne Vixens,58,Adelaide Thunderbirds,44,"Hisense Arena, Melbourne",,,,,,,,
2,Sunday 31 March 2013,West Coast Fever,80,Northern Mystics,53,"Challenge Stadium, Perth",,,,,,,,
2,Sunday 31 March 2013,Waikato Bay of Plenty Magic,61,New South Wales Swifts,35,"ASB Baypark Arena, Tauranga",,,,,,,,
2,Monday 1 April 2013,Central Pulse,56,Queensland Firebirds,58,"Te Rauparaha Arena, Porirua",,,,,,,,
3,Saturday 6 April 2013,Southern Steel,54,Adelaide Thunderbirds,60,"Lion Foundation Arena, Dunedin",,,,,,,,
3,Sunday 7 April 2013,West Coast Fever,57,Waikato Bay of Plenty Magic,51,"Challenge Stadium, Perth",,,,,,,,
3,Sunday 7 April 2013,Northern Mystics,51,Queensland Firebirds,72,"Trusts Stadium, Auckland",,,,,,,,
3,Monday 8 April 2013,Central Pulse,55,New South Wales Swifts,49,"TSB Bank Arena, Wellington",,,,,,,,
3,Monday 8 April 2013,Melbourne Vixens,60,Canterbury Tactix,40,"Hisense Arena, Melbourne",,,,,,,,
4,Sunday 14 April 2013,Adelaide Thunderbirds,72,West Coast Fever,46,"Netball SA Stadium, Adelaide",,,,,,,,
4,Sunday 14 April 2013,Central Pulse,59,Southern Steel,56,"Arena Manawatu, Palmerston North",,,,,,,,
4,Monday 15 April 2013,Canterbury Tactix,80,Northern Mystics,78,"CBS Canterbury Arena, Christchurch",,,,,,,,
4,Monday 15 April 2013,New South Wales Swifts,53,Queensland Firebirds,61,Sydney Olympic Park Sports Centre,,,,,,,,
5,Sunday 21 April 2013,Adelaide Thunderbirds,39,Melbourne Vixens,38,"Netball SA Stadium, Adelaide",,,,,,,,
5,Sunday 21 April 2013,West Coast Fever,71,New South Wales Swifts,51,"Challenge Stadium, Perth",,,,,,,,
5,Sunday 21 April 2013,Northern Mystics,69,Central Pulse,68,"Trusts Stadium, Auckland",,,,,,,,
5,Monday 22 April 2013,Waikato Bay of Plenty Magic,65,Canterbury Tactix,45,"ASB Baypark Arena, Tauranga",,,,,,,,
6,Saturday 27 April 2013,West Coast Fever,49,Melbourne Vixens,58,"Perth Arena, Perth",,,,,,,,
6,Sunday 28 April 2013,Queensland Firebirds,53,Adelaide Thunderbirds,54,Brisbane Convention and Exhibition Centre,,,,,,,,
6,Sunday 28 April 2013,Central Pulse,53,Waikato Bay of Plenty Magic,52,"TSB Bank Arena, Wellington",,,,,,,,
6,Monday 29 April 2013,Southern Steel,67,Northern Mystics,52,"Stadium Southland Velodrome,Invercargill",,,,,,,,
7,Sunday 5 May 2013,Queensland Firebirds,63,West Coast Fever,54,Brisbane Convention and Exhibition Centre,,,,,,,,
7,Sunday 5 May 2013,Melbourne Vixens,52,Central Pulse,30,"Hisense Arena, Melbourne",,,,,,,,
7,Sunday 5 May 2013,Northern Mystics,57,Canterbury Tactix,61,"Trusts Stadium, Auckland",,,,,,,,
7,Monday 6 May 2013,Southern Steel,60,New South Wales Swifts,55,"Stadium Southland Velodrome,Invercargill",,,,,,,,
7,Monday 6 May 2013,Adelaide Thunderbirds,45,Waikato Bay of Plenty Magic,33,"Netball SA Stadium, Adelaide",,,,,,,,
8,Saturday 11 May 2013,Canterbury Tactix,51,Queensland Firebirds,76,"CBS Canterbury Arena, Christchurch",,,,,,,,
8,Sunday 12 May 2013,New South Wales Swifts,42,Melbourne Vixens,50,Sydney Olympic Park Sports Centre,,,,,,,,
8,Sunday 12 May 2013,West Coast Fever,47,Adelaide Thunderbirds,49,"Challenge Stadium, Perth",,,,,,,,
8,Sunday 12 May 2013,Northern Mystics,63,Southern Steel,73,"Trusts Stadium, Auckland",,,,,,,,
8,Monday 13 May 2013,Waikato Bay of Plenty Magic,53,Central Pulse,49,"Claudelands Arena, Hamilton",,,,,,,,
9,Saturday 18 May 2013,Southern Steel,65,Waikato Bay of Plenty Magic,58,"Stadium Southland Velodrome,Invercargill",,,,,,,,
9,Sunday 19 May 2013,Melbourne Vixens,46,Queensland Firebirds,57,"Hisense Arena, Melbourne",,,,,,,,
9,Sunday 19 May 2013,Adelaide Thunderbirds,50,New South Wales Swifts,48,"Netball SA Stadium, Adelaide",,,,,,,,
9,Sunday 19 May 2013,Canterbury Tactix,55,West Coast Fever,64,"Trafalgar Centre, Nelson",,,,,,,,
9,Monday 20 May 2013,Central Pulse,63,Northern Mystics,48,"Te Rauparaha Arena, Porirua",,,,,,,,
10,Sunday 26 May 2013,New South Wales Swifts,63,Northern Mystics,44,Sydney Olympic Park Sports Centre,,,,,,,,
10,Sunday 26 May 2013,Queensland Firebirds,62,Waikato Bay of Plenty Magic,65,Gold Coast Convention and Exhibition Centre,,,,,,,,
10,Sunday 26 May 2013,Central Pulse,53,West Coast Fever,52,"TSB Bank Arena, Wellington",,,,,,,,
10,Monday 27 May 2013,Canterbury Tactix,58,Adelaide Thunderbirds,62,"Lion Foundation Arena, Dunedin",,,,,,,,
10,Monday 27 May 2013,Melbourne Vixens,58,Southern Steel,52,"Hisense Arena, Melbourne",,,,,,,,
11,Sunday 2 June 2013,New South Wales Swifts,43,Adelaide Thunderbirds,46,"Allphones Arena, Sydney",,,,,,,,
11,Sunday 2 June 2013,Queensland Firebirds,47,Melbourne Vixens,53,Brisbane Convention and Exhibition Centre,,,,,,,,
11,Sunday 2 June 2013,Waikato Bay of Plenty Magic,58,Southern Steel,52,"Energy Events Centre, Rotorua",,,,,,,,
11,Monday 3 June 2013,Canterbury Tactix,45,Central Pulse,62,"CBS Canterbury Arena, Christchurch",,,,,,,,
12,Saturday 8 June 2013,Melbourne Vixens,39,New South Wales Swifts,48,"Hisense Arena, Melbourne",,,,,,,,
12,Sunday 9 June 2013,West Coast Fever,47,Queensland Firebirds,72,"Challenge Stadium, Perth",,,,,,,,
12,Sunday 9 June 2013,Southern Steel,79,Canterbury Tactix,62,"Lion Foundation Arena, Dunedin",,,,,,,,
12,Monday 10 June 2013,Northern Mystics,50,Waikato Bay of Plenty Magic,60,"Trusts Stadium, Auckland",,,,,,,,
13,Sunday 16 June 2013,Queensland Firebirds,52,New South Wales Swifts,48,Brisbane Convention and Exhibition Centre,,,,,,,,
13,Sunday 16 June 2013,Adelaide Thunderbirds,64,Northern Mystics,48,"Netball SA Stadium, Adelaide",,,,,,,,
13,Sunday 16 June 2013,Waikato Bay of Plenty Magic,56,Melbourne Vixens,51,"Claudelands Arena, Hamilton",,,,,,,,
13,Monday 17 June 2013,Central Pulse,73,Canterbury Tactix,59,"Te Rauparaha Arena, Porirua",,,,,,,,
13,Monday 17 June 2013,West Coast Fever,68,Southern Steel,56,"Challenge Stadium, Perth",,,,,,,,
14,Sunday 23 June 2013,Melbourne Vixens,69,West Coast Fever,39,"Hisense Arena, Melbourne",,,,,,,,
14,Sunday 23 June 2013,Adelaide Thunderbirds,54,Queensland Firebirds,52,"Netball SA Stadium, Adelaide",,,,,,,,
14,Sunday 23 June 2013,Southern Steel,64,Central Pulse,73,"Stadium Southland Velodrome,Invercargill",,,,,,,,
14,Monday 24 June 2013,Waikato Bay of Plenty Magic,68,Northern Mystics,40,"ASB Baypark Arena, Tauranga",,,,,,,,
14,Monday 24 June 2013,New South Wales Swifts,62,Canterbury Tactix,42,Sydney Olympic Park Sports Centre,,,,,,,,
15,Sunday 30 June 2013,Adelaide Thunderbirds,49,Melbourne Vixens,39,"Netball SA Stadium, Adelaide",,,,,,,,
15,Monday 1 July 2013,Waikato Bay of Plenty Magic,50,Queensland Firebirds,53,"Claudelands Arena, Hamilton",,,,,,,,
16,Sunday 7 July 2013,Melbourne Vixens,46,Queensland Firebirds,50,"State Netball Hockey Centre, Melbourne",,,,,,,,
17,Sunday 14 July 2013,Adelaide Thunderbirds,50,Queensland Firebirds,48,"Adelaide Entertainment Centre, Adelaide",,,,,,,,
